molecule_chembl_id,canonical_smiles,value_IC50,value_pIC50,units,MW,LogP,HBD,HBA
CHEMBL68920,Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,41.0,7.3872161432802645,nM,383.814,4.450340000000002,3.0,4.0
CHEMBL69960,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,170.0,6.769551078621726,nM,482.9030000000001,3.614320000000001,3.0,6.0
CHEMBL137635,CN(c1ccccc1)c1ncnc2ccc(N/N=N/Cc3ccccn3)cc12,9300.0,5.031517051446064,nM,369.43200000000013,4.772000000000004,1.0,6.0
CHEMBL306988,CC(=C(C#N)C#N)c1ccc(NC(=O)CCC(=O)O)cc1,500000.0,3.3010299956639813,nM,283.287,2.3105600000000006,2.0,4.0
CHEMBL66879,O=C(O)/C=C/c1ccc(O)cc1,3000000.0,2.5228787452803374,nM,164.16,1.49,2.0,2.0
CHEMBL77085,N#CC(C#N)=Cc1cc(O)ccc1[N+](=O)[O-],96000.0,4.017728766960432,nM,215.16799999999998,1.73096,1.0,5.0
CHEMBL443268,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)N(C)c2ncnc(Nc3ccc(F)c(Cl)c3)c21,5310.0,5.274905478918531,nM,539.9990000000001,3.228220000000002,3.0,7.0
CHEMBL76979,COc1cc(/C=C(\C#N)C(=O)O)cc(OC)c1O,264000.0,3.578396073130169,nM,249.22199999999998,1.40098,2.0,5.0
CHEMBL76589,N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)cc1,125.0,6.903089986991944,nM,236.234,1.55914,2.0,5.0
CHEMBL76904,N#CC(C#N)=Cc1ccc(O)c(O)c1,35000.0,4.455931955649724,nM,186.17,1.52836,2.0,4.0
CHEMBL1009,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,900000.0,3.045757490560675,nM,197.18999999999997,0.052200000000000135,4.0,4.0
CHEMBL304271,CCN(CC)CC(O)CNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,0.45,9.346787486224656,nM,542.0150000000001,3.57442,5.0,7.0
CHEMBL296407,N#C/C(=C\c1ccc(O)c(O)c1)C(N)=O,10000.0,5.0,nM,204.18499999999997,0.4900799999999999,3.0,4.0
